Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0
ertiga,2014,6,9.95,45000,Diesel,Dealer,Manual,0
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
alto k10,2016,3,3.76,10079,Petrol,Dealer,Manual,0
